"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16"
"1";1e-06;1e-06;0,0651629068670363;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,791666660470159;0,00362318871737555;0,0453216373420113;1e-06;1e-06;1e-06;1e-06;1e-06;0,041666667467883;0,208333331544415;0,0416666666634391;1e-06;1e-06;1e-06;1e-06;1e-06
"3";0,112781954256669;0,00292397674032584;0,0260025062428584;1e-06;0,00216120010904875;0,0701754385781998;0,0701754381574396;1e-06;0,122807016686594;0,0526315786725775;0,052631578845909;0,0158460667714298;1e-06;1e-06;1e-06;1e-06
"4";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,494736840232934;1e-06;1e-06;1e-06;1e-06;1e-06
"5";1e-06;0,000603865042182235;0,000381388366343856;0,999999;1e-06;0,992753619777424;0,992753613397122;0,999999;0,999999;1e-06;1e-06;0,00011687714896569;1e-06;1e-06;1e-06;1e-06
"6";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"9";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"12";1e-06;0,995967739571345;0,000282965533499741;1e-06;1e-06;1e-06;1e-06;1e-06;0,967741925039088;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"13";1e-06;0,083333333312464;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,0161290322439348;1e-06;1e-06;1e-06;1e-06
"14";0,1260504193636;1e-06;0,0185758513582874;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"15";1e-06;1e-06;0,0153508772031559;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,965073525706913;1e-06;1e-06
"16";1e-06;0,180555555426558;0,146198828565148;1e-06;0,949275348031716;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,580645152572512;1e-06;1e-06;1e-06;1e-06
