"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47"
"1";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,249999990993749;0,499999966249999;1e-06;0,111111106881174;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,999999;1e-06;0,995220013681456;0,525797768764853;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0677431699496718;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,149999997205768;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,00666666662374487;1e-06;1e-06;1e-06;0,00622941121078288;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";1e-06;1e-06;1e-06;0,0201669001700953;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,499999950225001;1e-06;0,111111103067286;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;0,503326349313901;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"5";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0434782601597387;1e-06;1e-06;1e-06;0,999999;0,869565184001292;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
